,crop_height,crop_width,epochs,height,hf,hl,image,is_cropped,lr,quantization_technique,seed,using_quantization,width
219,256,256,100000,512,11,9,cameramen,True,0.0001,,1234,False,512
220,256,256,100000,512,11,10,cameramen,True,0.0001,,0,False,512
221,256,256,100000,512,11,10,cameramen,True,0.0001,,42,False,512
222,256,256,100000,512,11,10,cameramen,True,0.0001,,101,False,512
223,256,256,100000,512,11,10,cameramen,True,0.0001,,123,False,512
224,256,256,100000,512,11,10,cameramen,True,0.0001,,1234,False,512
225,256,256,100000,512,11,11,cameramen,True,0.0001,,0,False,512
226,256,256,100000,512,11,11,cameramen,True,0.0001,,42,False,512
227,256,256,100000,512,11,11,cameramen,True,0.0001,,101,False,512
228,256,256,100000,512,11,11,cameramen,True,0.0001,,123,False,512
229,256,256,100000,512,11,11,cameramen,True,0.0001,,1234,False,512
230,256,256,100000,512,11,12,cameramen,True,0.0001,,0,False,512
231,256,256,100000,512,11,12,cameramen,True,0.0001,,42,False,512
232,256,256,100000,512,11,12,cameramen,True,0.0001,,101,False,512
233,256,256,100000,512,11,12,cameramen,True,0.0001,,123,False,512
234,256,256,100000,512,11,12,cameramen,True,0.0001,,1234,False,512
235,256,256,100000,512,11,13,cameramen,True,0.0001,,0,False,512
236,256,256,100000,512,11,13,cameramen,True,0.0001,,42,False,512
237,256,256,100000,512,11,13,cameramen,True,0.0001,,101,False,512
238,256,256,100000,512,11,13,cameramen,True,0.0001,,123,False,512
239,256,256,100000,512,11,13,cameramen,True,0.0001,,1234,False,512
240,256,256,100000,512,12,2,cameramen,True,0.0001,,0,False,512
241,256,256,100000,512,12,2,cameramen,True,0.0001,,42,False,512
242,256,256,100000,512,12,2,cameramen,True,0.0001,,101,False,512
243,256,256,100000,512,12,2,cameramen,True,0.0001,,123,False,512
244,256,256,100000,512,12,2,cameramen,True,0.0001,,1234,False,512
245,256,256,100000,512,12,3,cameramen,True,0.0001,,0,False,512
246,256,256,100000,512,12,3,cameramen,True,0.0001,,42,False,512
247,256,256,100000,512,12,3,cameramen,True,0.0001,,101,False,512
248,256,256,100000,512,12,3,cameramen,True,0.0001,,123,False,512
249,256,256,100000,512,12,3,cameramen,True,0.0001,,1234,False,512
250,256,256,100000,512,12,4,cameramen,True,0.0001,,0,False,512
251,256,256,100000,512,12,4,cameramen,True,0.0001,,42,False,512
252,256,256,100000,512,12,4,cameramen,True,0.0001,,101,False,512
253,256,256,100000,512,12,4,cameramen,True,0.0001,,123,False,512
254,256,256,100000,512,12,4,cameramen,True,0.0001,,1234,False,512
255,256,256,100000,512,12,5,cameramen,True,0.0001,,0,False,512
256,256,256,100000,512,12,5,cameramen,True,0.0001,,42,False,512
257,256,256,100000,512,12,5,cameramen,True,0.0001,,101,False,512
258,256,256,100000,512,12,5,cameramen,True,0.0001,,123,False,512
259,256,256,100000,512,12,5,cameramen,True,0.0001,,1234,False,512
260,256,256,100000,512,12,6,cameramen,True,0.0001,,0,False,512
261,256,256,100000,512,12,6,cameramen,True,0.0001,,42,False,512
262,256,256,100000,512,12,6,cameramen,True,0.0001,,101,False,512
263,256,256,100000,512,12,6,cameramen,True,0.0001,,123,False,512
264,256,256,100000,512,12,6,cameramen,True,0.0001,,1234,False,512
265,256,256,100000,512,12,7,cameramen,True,0.0001,,0,False,512
266,256,256,100000,512,12,7,cameramen,True,0.0001,,42,False,512
